Sr No,date,startup,vertical,sub vertical,city,investor,round,amount
1,2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1644.0
3,2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,150.9098292
4,2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,24.66
5,2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.796
7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1233.0
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.32
9,2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,575.4
10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,411.0
16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,411.0
25,2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.686
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.466
33,2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,369.9
34,2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4808.7
36,2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,36.99
37,2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.126
38,2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.32
39,2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,41.1
40,2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,147.96
41,2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.22
42,2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,82.2
43,2019-04-09,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3699.0
44,2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.1
45,2019-01-08,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,164.4
46,2019-01-08,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.1
47,2019-01-08,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Undisclosed,Seed Funding Round,13.152
48,2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1150.8
49,2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,313.0176
50,2019-12-08,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1027.5
62,2019-02-07,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.18
63,2019-02-07,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.55
64,2019-01-07,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.1919
65,2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.22
66,2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,313.0176
67,2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.11
68,2019-10-07,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1233.0
69,2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,493.2
70,2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,131.52
71,2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.265
72,2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.55
73,2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.22
74,2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.6271531
75,2019-05-06,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,419.22
76,2019-04-06,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,82.2
78,2019-03-06,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,73.98
79,2019-04-06,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,616.5
80,2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,213.72
81,2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,20.55
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,213.72
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,124.20009
85,2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.536244
86,2019-10-06,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,127.41
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,427.44
88,2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.46048
89,2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,27.948
90,2019-06-05,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0
91,2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.139892
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
93,2019-01-05,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1233.0
94,2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,411.0
100,2019-12-04,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,139.74
101,2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.5400663
103,2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.644
104,2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,28.77
105,2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,51.9571404
106,2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.0855289
107,2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.52354
108,2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,213.72
113,2019-01-02,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
114,2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1857.72
117,2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,904.2
118,2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,180.84
119,2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,41.1
120,2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,5.754
121,2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,411.0
122,2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.576
123,2018-02-12,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.70184
124,2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.17546
